date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-08-01,ЮТ 358 ,73Х,САМАРА(КУРУМОЧ),11,Y(А04),00:03,330,2026-08-01 00:11:00,2026-08-01 00:11:00,,2026-08-01 00:15:00,2026-08-01 00:18:00,2026-08-01 00:15:00,2026-08-01 00:18:00,2026-08-01 00:17:00,1.0,1.0,2026-08-01 00:28:00,2026-08-01 00:29:00,,0.0,2026-08-01 00:24:00,2026-08-01 00:28:00,,,,,Фартушный А. И.,Ютэйр,Выдача до 30 минут
2026-08-01,ЖГ 926 ,73Х,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),30,Y(А11),15:41,2079,2026-08-01 15:51:00,2026-08-01 15:53:00,,2026-08-01 15:53:00,2026-08-01 16:07:00,2026-08-01 16:06:00,2026-08-01 16:07:00,2026-08-01 16:09:00,,,2026-08-01 16:03:00,2026-08-01 16:11:00,,0.0,2026-08-01 15:59:00,2026-08-01 16:02:00,2026-08-01 16:05:00,2026-08-01 16:08:00,,,"Тихонов С. М., Фанин Н. О.",GEORGIAN AIRWAYS,Выдача до 30 минут
2026-08-01,А4 7010 ,СУ9,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),20,Y(А12),15:47,1417,2026-08-01 15:53:00,2026-08-01 16:26:00,30.0,2026-08-01 15:58:00,2026-08-01 16:08:00,2026-08-01 15:58:00,2026-08-01 16:08:00,2026-08-01 16:06:00,2.0,1.0,2026-08-01 16:13:00,2026-08-01 16:19:00,,0.0,2026-08-01 16:04:00,2026-08-01 16:09:00,2026-08-01 16:10:00,2026-08-01 16:16:00,,,Соколов И. С.,Азимут,Выдача до 30 минут
2026-08-01,В2 979 ,733,МИНСК(МИНСК ИНТЛ.),29,Y(А13),15:53,840,2026-08-01 16:00:00,2026-08-01 16:02:00,,2026-08-01 16:04:00,2026-08-01 16:11:00,2026-08-01 16:04:00,2026-08-01 16:11:00,2026-08-01 16:10:00,1.0,1.0,2026-08-01 16:18:00,2026-08-01 16:22:00,,0.0,2026-08-01 16:11:00,2026-08-01 16:17:00,,,,,Чеканов В. А.,Белавиа,Выдача до 30 минут
2026-08-01,ГЗП 400 ,73В,БОВАНЕНКОВО,Б63,Y(А05),16:58,886,2026-08-01 17:04:00,2026-08-01 17:06:00,,2026-08-01 17:08:00,2026-08-01 17:15:00,2026-08-01 17:08:00,2026-08-01 17:15:00,2026-08-01 17:14:00,1.0,1.0,2026-08-01 17:36:00,2026-08-01 17:38:00,2.0,0.0,2026-08-01 17:19:00,2026-08-01 17:39:00,,,,,Иванов В. А.,Газпром авиа,Выдача до 30 минут
2026-08-01,ФВ 6037 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),8,Y(А04),17:01,200,2026-08-01 17:12:00,2026-08-01 17:13:00,,2026-08-01 17:14:00,2026-08-01 17:19:00,2026-08-01 17:14:00,2026-08-01 17:19:00,2026-08-01 17:17:00,2.0,4.0,2026-08-01 17:21:00,2026-08-01 17:23:00,,0.0,2026-08-01 17:19:00,2026-08-01 17:21:00,,,,,Тихонов С. М.,Россия,Выдача до 30 минут
2026-08-01,PBD 758 ,73Х,ДАЛАМАН,50,Y(А11),17:08,1380,2026-08-01 17:19:00,2026-08-01 17:20:00,,2026-08-01 17:21:00,2026-08-01 17:39:00,2026-08-01 17:38:00,2026-08-01 17:39:00,2026-08-01 17:32:00,7.0,,2026-08-01 17:32:00,2026-08-01 17:39:00,,0.0,2026-08-01 17:27:00,2026-08-01 17:31:00,2026-08-01 17:33:00,2026-08-01 17:38:00,,,"Гафуров О. Ф., Королёв Е. А.",Победа,Выдача до 30 минут
2026-08-01,ФВ 6175 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),9,Y(А04),17:11,279,2026-08-01 17:19:00,2026-08-01 17:21:00,,2026-08-01 17:23:00,2026-08-01 17:27:00,2026-08-01 17:23:00,2026-08-01 17:27:00,2026-08-01 17:25:00,2.0,2.0,2026-08-01 17:31:00,2026-08-01 17:32:00,,0.0,2026-08-01 17:28:00,2026-08-01 17:30:00,,,,,Гафуров О. Ф.,Россия,Выдача до 30 минут
2026-08-01,ЮТ 270 ,73Х,СОЧИ,15,Y(А05),15:37,997,2026-08-01 15:44:00,2026-08-01 15:45:00,,2026-08-01 15:47:00,2026-08-01 15:56:00,2026-08-01 15:47:00,2026-08-01 15:56:00,2026-08-01 15:55:00,1.0,2.0,2026-08-01 16:04:00,2026-08-01 16:06:00,,0.0,2026-08-01 15:57:00,2026-08-01 16:05:00,,,,,Рустамов М. А.,Ютэйр,Выдача до 30 минут
2026-08-01,ЮТ 374 ,73Х,МИНЕРАЛЬНЫЕ ВОДЫ,14,Y(А06),17:18,937,2026-08-01 17:27:00,2026-08-01 17:29:00,,2026-08-01 17:29:00,2026-08-01 17:35:00,2026-08-01 17:29:00,2026-08-01 17:35:00,2026-08-01 17:37:00,,,2026-08-01 17:39:00,2026-08-01 17:47:00,,0.0,2026-08-01 17:36:00,2026-08-01 17:39:00,,,,,Андреев А. М.,Ютэйр,Выдача до 30 минут
