date,company,bag_status,flight
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 358 
2026-08-01,Победа,Выдача до 30 минут,ДР 262 
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 270 
2026-08-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 926 
2026-08-01,Азимут,Выдача до 30 минут,А4 7010 
2026-08-01,Белавиа,Выдача до 30 минут,В2 979 
2026-08-01,Газпром авиа,Выдача до 30 минут,ГЗП 400 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6037 
2026-08-01,Победа,Выдача до 30 минут,PBD 758 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6175 
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 374 
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 746 
2026-08-01,Победа,Выдача до 30 минут,ДР 836 
2026-08-01,FLYONE Armenia,Выдача до 30 минут,3F 325 
2026-08-01,GEORGIAN AIRWAYS,Выдача до 30 минут,AZO 7054 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 415 
2026-08-01,Red Sea,Выдача от 30 до 40 минут,4S 333 
2026-08-01,Победа,Выдача до 30 минут,ДР 116 
2026-08-01,Nesma Airlines,Выдача до 30 минут,NE 640 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6027 
2026-08-01,FLYONE Armenia,Выдача до 30 минут,УР 412 
2026-08-01,Turkish Airlines,Выдача от 30 до 40 минут,TK 3070 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 1231 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 3012 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 3192 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6009 
2026-08-01,Nesma Airlines,Выдача от 30 до 40 минут,NE 614 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6177 
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 786A
2026-08-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 937 
2026-08-01,ЮВТ АЭРО,Выдача до 30 минут,ЮВ 204 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6025 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 3082 
2026-08-01,Победа,Выдача до 30 минут,ДР 856 
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 744 
2026-08-01,Pegasus,Выдача до 30 минут,PC 388 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 417 
2026-08-01,Turkish Airlines,Выдача до 30 минут,TK 3076 
2026-08-01,Nesma Airlines,Выдача до 30 минут,NE 644 
2026-08-01,Ютэйр,Выдача до 30 минут,ЮТ 464 
2026-08-01,Победа,Выдача до 30 минут,ДР 422 
2026-08-01,AZAL,Выдача до 30 минут,J2 803 
2026-08-01,Ютэйр,Выдача более 40 минут,ЮТ 784 
2026-08-01,Nesma Airlines,Выдача до 30 минут,NE 648 
2026-08-01,Ютэйр,Выдача до 30 минут,УТА 6132 
2026-08-01,Россия,Выдача до 30 минут,ФВ 6185 
2026-08-01,Nesma Airlines,Выдача до 30 минут,NE 616 
2026-08-01,Азимут,Выдача до 30 минут,А4 7036 
2026-08-01,SCAT Airlines,Выдача до 30 минут,DV 813 
2026-08-01,Turkish Airlines,Выдача от 30 до 40 минут,TK 411 
2026-08-01,Победа,Выдача до 30 минут,ДР 206 
2026-08-01,Победа,Выдача до 30 минут,ДР 486 
2026-08-01,Азимут,Выдача до 30 минут,А4 7030 
